# Date,Temperature,Relative Humidity,Pressure,Wind speed,Wind direction,Rainfall,Short-wave irradiation
31/03/2007,300.14,83.41,1006.03,1.58,222.83,111.215016,109718.1
30/04/2007,300.02,85.74,1006.33,1.74,224.98,187.651008,108336.3
31/05/2007,299.69,87.31,1007.5,1.59,220.05,288.160056,110275.6
30/06/2007,298.4,89.32,1009.59,2.09,220.6,380.29932,103148.4
31/07/2007,297.94,89.09,1010.16,2.2,226.91,263.146932,130373.5
31/08/2007,297.79,90.08,1009.47,2.22,228.82,272.039256,121263
30/09/2007,298.23,89.78,1009.58,1.83,229.11,437.35428,111209.4
31/10/2007,298.33,89.45,1008.24,1.63,227.8,541.67364,102885.5
30/11/2007,298.89,87.85,1007.03,1.25,223.91,364.473,104735.1
31/12/2007,298.46,81.06,1007.31,0.68,299.35,95.731488,134483.2
31/01/2008,297.55,75.97,1007.28,0.99,353.13,68.327604,127944
28/02/2008,298.74,72.86,1007.41,0.7,314.41,20.898148,126371.5
31/03/2008,299.54,86.34,1005.91,1.83,215.56,155.938896,101098.6
30/04/2008,299.47,86.51,1005.56,1.47,211.43,333.988668,104398.3
31/05/2008,299.49,86.73,1007.06,1.38,221,342.966564,105424.9
30/06/2008,298.64,88.07,1008.93,1.87,214.74,344.443284,108456.5
31/07/2008,298.23,86.42,1010.18,2.08,222.18,261.711288,128809
31/08/2008,298.13,87.5,1008.9,2.11,231.98,315.499644,123444
30/09/2008,298.45,88.56,1009.21,1.66,228.4,341.979264,110193
31/10/2008,298.88,88.33,1008.36,1.53,230.94,324.12906,108229.3
30/11/2008,299.49,85.29,1007.14,1.2,229.43,243.895248,113027.9
31/12/2008,299.22,80.61,1006.83,0.72,255.21,132.323688,125784.7
31/01/2009,299.3,83.79,1007.23,1.32,249.65,108.80622,101114.4
28/02/2009,299.77,84.61,1006.11,1.7,228.79,103.347648,103473.7
31/03/2009,300.16,85.3,1005.45,1.56,227.63,150.269004,105490.3
30/04/2009,299.64,87.13,1006.97,1.64,225.49,378.45072,99652.95
31/05/2009,299.48,87.32,1007.42,1.38,221.51,258.675912,109435.4
30/06/2009,298.72,88.92,1009.54,1.75,222.25,358.4268,105625.8
31/07/2009,298.08,89.26,1010.25,2.28,223.82,405.00972,115732
31/08/2009,298.06,89.79,1009.61,2.34,229.3,387.49392,123869.5
30/09/2009,298.6,88.72,1009.93,1.93,230.41,366.33708,117752.9
31/10/2009,298.61,88.94,1008.14,1.64,235.3,405.3852,108288.8
30/11/2009,299.11,83.73,1007.69,0.8,244.73,216.131436,123691.8
31/12/2009,299.75,77.83,1007.7,0.62,279.03,45.317088,146030.5
31/01/2010,299.97,78.94,1007.56,0.94,253.94,62.3781,135011
28/02/2010,300.47,83.4,1006.77,1.52,232.67,110.463516,104429.2
31/03/2010,300.42,84.45,1007.24,1.48,219.87,141.94278,99072.55
30/04/2010,300.61,85.75,1006.53,1.54,212.61,185.12622,110199.2
